,PUMA,NP,ACCESS,BATH,BDSP,BLD,BROADBND,COMPOTHX,DIALUP,ELEFP,ELEP,FS,FULFP,GASFP,HFL,HISPEED,LAPTOP,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,SATELLITE,SINK,SMARTPHONE,STOV,TABLET,TEL,TEN,VEH,WATFP,YBL,GRNTP,GRPIP,HHL,HHLANP,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPP,NR,NRC,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SRNT,SSMC,WGTP_CLT,AMI,AFF_OCC,COST_BURDALL
1348,3104,2,1.0,1,2,7,1.0,2.0,2.0,3.0,100.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,1100.0,1,2.0,1,1.0,1,2.0,1.0,3.0,1.0,3.0,7,1208.0,14.0,1.0,9500.0,3.0,100050.0,0.0,2.0,2.0,2.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,1,1,0.0,52.47,7.0,4.0,0.0
1350,3104,3,1.0,1,3,2,1.0,2.0,2.0,3.0,90.0,2.0,3.0,4.0,3.0,1.0,1.0,2.0,1,7,2.0,2100.0,1,2.0,1,1.0,1,1.0,1.0,3.0,3.0,3.0,4,2531.0,23.0,1.0,9500.0,1.0,133170.0,0.0,1.0,1.0,1.0,1,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,1,1,0.0,112.86,7.0,7.0,0.0
1352,3101,2,1.0,1,2,5,1.0,2.0,2.0,3.0,100.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,7,2.0,980.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,1.0,7,1080.0,25.0,1.0,9500.0,3.0,52100.0,0.0,2.0,2.0,2.0,1,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,1,1,0.0,86.0,5.0,4.0,0.0
1353,3101,1,3.0,1,1,4,1.0,2.0,2.0,3.0,170.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,2,2.0,680.0,1,2.0,1,1.0,1,1.0,1.0,3.0,0.0,3.0,6,856.0,101.0,1.0,9500.0,6.0,4500.0,0.0,4.0,4.0,4.0,1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,49.0,1.0,4.0,1.0
1354,3105,1,1.0,1,2,6,1.0,2.0,2.0,3.0,80.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,1200.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,17,1308.0,25.0,1.0,9500.0,6.0,62000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,3,1,0.0,58.92,6.0,4.0,0.0
1355,3107,3,1.0,1,3,2,1.0,2.0,2.0,3.0,250.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,6,2.0,1500.0,1,2.0,1,1.0,1,2.0,1.0,3.0,3.0,3.0,18,1817.0,26.0,1.0,9500.0,5.0,85000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,21.8,7.0,5.0,0.0
1356,3107,5,1.0,1,3,2,1.0,2.0,2.0,3.0,80.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,7,2.0,1300.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,8,1760.0,84.0,1.0,9500.0,3.0,25000.0,0.0,2.0,2.0,2.0,1,1.0,1.0,3.0,4.0,0.0,0.0,4.0,0.0,1,0.0,1.0,0.0,0.0,2,1,0.0,252.49,1.0,5.0,1.0
1357,3102,2,3.0,1,3,2,1.0,2.0,2.0,3.0,150.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,1,5,2.0,500.0,1,2.0,1,1.0,1,2.0,1.0,3.0,1.0,3.0,4,765.0,16.0,1.0,9500.0,3.0,58900.0,0.0,4.0,4.0,4.0,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,2,1,0.0,44.19,5.0,2.0,0.0
1359,3106,1,1.0,1,1,8,1.0,2.0,2.0,3.0,120.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1,3,2.0,590.0,1,2.0,1,1.0,1,2.0,1.0,3.0,1.0,2.0,8,710.0,53.0,1.0,9500.0,6.0,16000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1,0.0,21.39,2.0,3.0,1.0
1360,3108,5,1.0,1,2,3,1.0,2.0,2.0,3.0,100.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1,5,2.0,1300.0,1,2.0,1,1.0,1,2.0,1.0,3.0,2.0,3.0,18,1480.0,25.0,1.0,9500.0,3.0,71000.0,0.0,3.0,3.0,3.0,1,1.0,1.0,2.0,2.0,0.0,1.0,2.0,4.0,1,0.0,1.0,0.0,0.0,2,1,0.0,229.62,5.0,5.0,0.0
1361,3106,2,1.0,1,2,7,1.0,2.0,2.0,3.0,100.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,6,2.0,800.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,7,933.0,34.0,1.0,9500.0,1.0,32460.0,0.0,4.0,4.0,4.0,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2.0,2.0,3,1,0.0,26.35,3.0,3.0,1.0
1362,3104,1,1.0,1,1,7,1.0,2.0,2.0,3.0,90.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,3,2.0,900.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,8,993.0,22.0,2.0,1200.0,6.0,53000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,90.09,6.0,4.0,0.0
1364,3106,2,1.0,1,2,9,1.0,2.0,2.0,3.0,130.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,3,2.0,1300.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,3.0,20,1463.0,4.0,1.0,9500.0,1.0,415600.0,0.0,4.0,4.0,4.0,1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,24.49,7.0,5.0,0.0
1365,3103,1,3.0,1,1,8,1.0,2.0,2.0,3.0,80.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1,3,2.0,800.0,1,2.0,1,2.0,1,2.0,1.0,3.0,1.0,1.0,7,880.0,29.0,1.0,9500.0,6.0,37000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,0.0,122.0,4.0,4.0,0.0
1366,3107,2,2.0,1,2,5,1.0,2.0,2.0,1.0,114.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,5,1.0,2800.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,1.0,5,2800.0,18.0,1.0,9500.0,1.0,190000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2.0,2.0,3,1,2.0,52.73,7.0,7.0,0.0
1367,3108,2,3.0,1,2,1,1.0,2.0,2.0,3.0,560.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1,4,2.0,600.0,1,2.0,1,2.0,1,2.0,1.0,3.0,1.0,1.0,5,1160.0,55.0,1.0,9500.0,2.0,25200.0,0.0,4.0,4.0,4.0,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2.0,0.0,2,1,0.0,228.33,2.0,4.0,1.0
1368,3102,2,1.0,1,3,2,1.0,2.0,2.0,3.0,110.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,5,2.0,750.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,3.0,5,927.0,67.0,1.0,9500.0,1.0,16600.0,0.0,4.0,4.0,4.0,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2.0,2.0,1,1,0.0,45.17,1.0,2.0,1.0
1369,3103,4,1.0,1,2,7,1.0,2.0,2.0,3.0,120.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,760.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,1.0,7,880.0,19.0,2.0,1200.0,1.0,54600.0,0.0,3.0,3.0,3.0,1,2.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,1,0.0,1.0,0.0,0.0,2,1,0.0,84.0,4.0,3.0,0.0
1370,3101,3,1.0,1,2,8,1.0,2.0,2.0,3.0,100.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,3,2.0,1300.0,1,2.0,1,1.0,1,1.0,1.0,3.0,3.0,1.0,13,1420.0,22.0,1.0,9500.0,7.0,78000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1,0.0,0.0,0.0,0.0,3,1,0.0,39.0,6.0,5.0,0.0
1371,3102,3,1.0,1,4,2,2.0,2.0,2.0,3.0,320.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1,7,2.0,820.0,1,2.0,1,1.0,1,1.0,1.0,3.0,0.0,1.0,6,1140.0,36.0,1.0,9500.0,3.0,0.0,0.0,1.0,1.0,1.0,1,1.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1,0.0,1.0,0.0,0.0,2,1,0.0,129.62,1.0,3.0,1.0
