,PUMA,NP,ACCESS,BATH,BDSP,BLD,BROADBND,COMPOTHX,DIALUP,ELEFP,ELEP,FS,FULFP,GASFP,HFL,HISPEED,LAPTOP,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,SATELLITE,SINK,SMARTPHONE,STOV,TABLET,TEL,TEN,VEH,WATFP,YBL,GRNTP,GRPIP,HHL,HHLANP,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPP,NR,NRC,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SRNT,SSMC,WGTP_CLT,AMI,AFF_OCC,COST_BURDALL
0,3102,5,1.0,1,3,2,1.0,2.0,2.0,3.0,100.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,1,5,2.0,800.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,5,1013.0,68.0,1.0,9500.0,3.0,18000.0,0.0,3.0,3.0,3.0,1,1.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,1,0.0,1.0,1.0,1.0,2,1,0.0,200.33,1.0,3.0,1.0
1,3104,1,1.0,1,2,6,1.0,2.0,2.0,3.0,120.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,7,2.0,1100.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,6,1223.0,20.0,1.0,9500.0,4.0,72000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,111.87,7.0,4.0,0.0
3,3101,2,1.0,1,3,2,1.0,2.0,2.0,3.0,170.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1,5,2.0,600.0,1,2.0,1,1.0,1,2.0,1.0,3.0,2.0,3.0,5,883.0,19.0,1.0,9500.0,1.0,56600.0,0.0,4.0,4.0,4.0,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,0.0,90.0,5.0,2.0,0.0
4,3105,4,1.0,1,2,7,1.0,2.0,2.0,3.0,80.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,6,2.0,800.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,3.0,6,912.0,18.0,1.0,9500.0,1.0,59400.0,0.0,2.0,2.0,2.0,1,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1,0.0,1.0,0.0,0.0,3,1,0.0,61.87,5.0,3.0,0.0
5,3101,1,2.0,1,0,9,1.0,2.0,2.0,3.0,30.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1,1,2.0,1400.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,12,1454.0,11.0,1.0,9500.0,4.0,160000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,95.0,7.0,6.0,0.0
6,3105,3,1.0,1,3,2,1.0,2.0,2.0,3.0,80.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,1300.0,1,2.0,1,1.0,1,1.0,1.0,3.0,3.0,3.0,3,1710.0,17.0,1.0,9500.0,7.0,121300.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,0.0,229.79,7.0,5.0,0.0
7,3105,2,1.0,1,3,2,1.0,2.0,2.0,3.0,110.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1,7,2.0,1400.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,3.0,6,1584.0,16.0,1.0,9500.0,7.0,116000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1,0.0,0.0,0.0,0.0,3,1,0.0,81.51,7.0,5.0,0.0
8,3107,2,1.0,1,1,7,1.0,2.0,2.0,3.0,90.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1,2,2.0,830.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,8,924.0,26.0,1.0,9500.0,3.0,42000.0,0.0,2.0,2.0,2.0,1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,1,1,0.0,42.59,4.0,4.0,0.0
10,3104,1,1.0,1,2,2,1.0,2.0,2.0,3.0,100.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,1600.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,10,1823.0,44.0,1.0,9500.0,6.0,50000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,105.93,5.0,6.0,1.0
11,3103,2,1.0,1,1,6,1.0,2.0,2.0,3.0,110.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,650.0,1,2.0,1,1.0,1,2.0,1.0,3.0,2.0,2.0,5,760.0,20.0,5.0,4590.0,1.0,45600.0,0.0,4.0,4.0,4.0,1,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1,0.0,58.0,4.0,3.0,0.0
12,3106,2,1.0,1,3,2,1.0,2.0,2.0,3.0,50.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,1068.0,1,2.0,1,1.0,1,1.0,1.0,4.0,1.0,1.0,3,1218.0,36.0,1.0,9500.0,3.0,62000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,17.36,6.0,1.0,0.0
13,3103,2,1.0,1,3,7,1.0,2.0,2.0,3.0,150.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,6,2.0,1200.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,3.0,7,1400.0,10.0,1.0,9500.0,1.0,165000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,0.0,291.0,7.0,4.0,0.0
14,3103,1,3.0,1,2,6,1.0,2.0,2.0,3.0,90.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1,4,2.0,330.0,1,2.0,1,2.0,1,2.0,1.0,3.0,1.0,1.0,5,420.0,85.0,1.0,9500.0,4.0,5920.0,0.0,4.0,4.0,4.0,1,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,2,1,0.0,127.0,1.0,1.0,1.0
15,3105,2,1.0,1,2,4,1.0,2.0,2.0,3.0,100.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,960.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,3.0,3,1062.0,17.0,1.0,9500.0,5.0,75000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1,0.0,0.0,0.0,0.0,3,1,0.0,56.96,7.0,4.0,0.0
16,3102,4,1.0,1,3,2,1.0,2.0,2.0,3.0,100.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,780.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,3.0,1,1020.0,36.0,1.0,9500.0,3.0,33700.0,0.0,3.0,3.0,3.0,1,1.0,1.0,3.0,2.0,0.0,1.0,2.0,4.0,1,0.0,1.0,0.0,0.0,2,1,0.0,172.83,2.0,3.0,1.0
17,3102,1,1.0,1,2,2,1.0,2.0,2.0,3.0,100.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,5,2.0,450.0,1,2.0,1,1.0,1,2.0,1.0,3.0,2.0,3.0,3,567.0,17.0,1.0,9500.0,4.0,41100.0,0.0,4.0,4.0,4.0,1,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,3,1,0.0,54.99,4.0,2.0,0.0
18,3103,1,1.0,1,2,9,1.0,2.0,2.0,3.0,140.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1,5,2.0,840.0,1,2.0,1,1.0,1,2.0,1.0,3.0,0.0,1.0,10,980.0,45.0,1.0,9500.0,6.0,26100.0,0.0,4.0,4.0,4.0,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,1,1,0.0,91.0,3.0,3.0,1.0
19,3104,3,1.0,1,4,2,1.0,2.0,2.0,3.0,60.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,1,7,2.0,1068.0,1,2.0,1,1.0,1,1.0,1.0,4.0,4.0,3.0,5,1218.0,36.0,1.0,9500.0,1.0,181600.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,3,1,0.0,57.42,7.0,1.0,0.0
20,3103,4,1.0,1,3,2,1.0,2.0,2.0,3.0,230.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1,7,2.0,800.0,1,1.0,1,1.0,1,1.0,1.0,3.0,5.0,3.0,2,1052.0,15.0,2.0,1200.0,1.0,86300.0,0.0,4.0,4.0,4.0,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,183.0,6.0,3.0,0.0
21,3105,2,3.0,1,2,9,1.0,2.0,2.0,3.0,200.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1,4,2.0,700.0,1,2.0,1,2.0,1,2.0,1.0,3.0,1.0,1.0,7,900.0,95.0,2.0,1200.0,3.0,11400.0,0.0,2.0,2.0,2.0,1,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,2,1,0.0,200.33,1.0,3.0,1.0
22,3102,1,3.0,1,1,6,1.0,2.0,2.0,3.0,270.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1,3,2.0,800.0,1,2.0,1,2.0,1,2.0,1.0,3.0,0.0,2.0,3,1070.0,36.0,1.0,9500.0,6.0,0.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,73.65,1.0,4.0,1.0
23,3107,3,1.0,1,4,2,1.0,2.0,2.0,3.0,170.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,1800.0,1,2.0,1,1.0,1,1.0,1.0,3.0,3.0,3.0,20,2111.0,21.0,4.0,2575.0,1.0,119000.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,3,1,0.0,31.94,7.0,5.0,0.0
24,3105,2,1.0,1,3,2,1.0,2.0,2.0,3.0,70.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,5,2.0,1300.0,1,2.0,1,1.0,1,1.0,1.0,3.0,3.0,1.0,7,1370.0,19.0,1.0,9500.0,5.0,85000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1,0.0,0.0,0.0,0.0,2,1,0.0,210.15,7.0,4.0,0.0
25,3105,2,1.0,1,2,4,1.0,2.0,2.0,3.0,190.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,860.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,1,1135.0,12.0,1.0,9500.0,7.0,114700.0,0.0,4.0,4.0,4.0,1,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,0.0,194.44,7.0,4.0,0.0
26,3104,4,1.0,1,3,7,1.0,2.0,2.0,2.0,114.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,1700.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,3.0,6,1725.0,26.0,4.0,2560.0,1.0,80000.0,0.0,3.0,3.0,3.0,1,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1,0.0,1.0,0.0,0.0,3,1,0.0,131.67,6.0,5.0,0.0
27,3103,1,1.0,1,2,9,1.0,2.0,2.0,3.0,100.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1,3,2.0,1000.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,7,1104.0,101.0,1.0,9500.0,4.0,10000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,62.0,1.0,4.0,1.0
30,3108,1,3.0,1,1,8,1.0,2.0,2.0,1.0,114.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1,3,2.0,1300.0,1,2.0,1,2.0,1,2.0,1.0,3.0,0.0,2.0,5,1300.0,87.0,1.0,9500.0,6.0,18000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,2,1,0.0,179.31,2.0,5.0,1.0
31,3104,2,1.0,1,2,3,1.0,2.0,2.0,3.0,80.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1,4,2.0,900.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,6,1070.0,32.0,1.0,9500.0,3.0,40000.0,0.0,2.0,2.0,2.0,1,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,3,1,0.0,121.77,4.0,4.0,1.0
32,3101,2,1.0,1,2,9,1.0,2.0,2.0,3.0,120.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,1900.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,3.0,7,2023.0,81.0,1.0,9500.0,5.0,30000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,66.0,3.0,7.0,1.0
34,3102,2,3.0,1,2,6,1.0,2.0,2.0,3.0,100.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,1,4,2.0,500.0,1,2.0,1,2.0,1,2.0,1.0,3.0,0.0,2.0,2,600.0,36.0,1.0,9500.0,1.0,20100.0,0.0,4.0,4.0,4.0,1,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1,1,0.0,40.26,2.0,2.0,1.0
35,3108,1,1.0,1,1,9,1.0,2.0,2.0,1.0,114.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1,2,1.0,500.0,1,2.0,1,1.0,1,2.0,1.0,3.0,1.0,1.0,6,500.0,13.0,1.0,9500.0,6.0,45000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1,1,0.0,39.99,5.0,2.0,0.0
37,3107,1,1.0,1,1,8,1.0,2.0,2.0,3.0,50.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,2,2.0,890.0,1,2.0,1,1.0,1,2.0,1.0,3.0,1.0,3.0,6,982.0,34.0,1.0,9500.0,6.0,35000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,31.43,4.0,4.0,1.0
38,3105,2,1.0,1,2,6,1.0,2.0,2.0,3.0,100.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,1400.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,2.0,7,1500.0,20.0,1.0,9500.0,7.0,88000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,53.03,7.0,5.0,0.0
39,3105,1,1.0,1,1,9,1.0,2.0,2.0,3.0,60.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,2,2.0,1100.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,3.0,11,1166.0,33.0,1.0,9500.0,4.0,42600.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,42.23,5.0,5.0,1.0
40,3108,2,1.0,1,3,3,2.0,2.0,2.0,1.0,114.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,1068.0,1,2.0,1,2.0,1,2.0,1.0,4.0,1.0,2.0,8,1218.0,36.0,1.0,9500.0,1.0,73000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2.0,2.0,3,1,0.0,37.41,7.0,1.0,0.0
42,3106,4,1.0,1,4,2,1.0,2.0,1.0,3.0,120.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,10,2.0,1700.0,1,1.0,1,1.0,1,1.0,1.0,3.0,5.0,3.0,8,1960.0,42.0,1.0,9500.0,1.0,56000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,18.91,4.0,5.0,1.0
43,3104,1,3.0,1,5,2,1.0,2.0,2.0,3.0,30.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1,7,2.0,500.0,1,2.0,1,2.0,1,2.0,1.0,3.0,1.0,3.0,1,600.0,36.0,1.0,9500.0,4.0,20000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,0.0,396.99,2.0,1.0,1.0
44,3101,1,1.0,1,1,8,1.0,2.0,2.0,3.0,40.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,2,2.0,1000.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,18,1065.0,12.0,1.0,9500.0,4.0,105000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,71.0,7.0,4.0,0.0
45,3101,2,1.0,1,1,8,1.0,2.0,2.0,3.0,40.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,2,2.0,520.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,2.0,4,560.0,23.0,3.0,1500.0,1.0,29000.0,0.0,4.0,4.0,4.0,1,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,45.0,2.0,2.0,0.0
46,3105,4,1.0,1,2,3,1.0,2.0,2.0,3.0,50.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1,5,2.0,850.0,1,1.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,5,966.0,15.0,1.0,9500.0,3.0,78900.0,0.0,4.0,4.0,4.0,1,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2.0,2.0,1,1,0.0,100.16,6.0,3.0,0.0
47,3105,2,1.0,1,2,8,1.0,2.0,2.0,3.0,60.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,3,2.0,1300.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,14,1402.0,12.0,3.0,1440.0,1.0,145000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,212.11,7.0,5.0,0.0
48,3108,1,1.0,1,1,6,1.0,2.0,2.0,3.0,40.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1,3,2.0,800.0,1,2.0,1,1.0,1,2.0,1.0,3.0,1.0,1.0,7,840.0,23.0,1.0,9500.0,4.0,43000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,0.0,118.04,5.0,4.0,0.0
50,3105,1,1.0,1,1,6,1.0,2.0,2.0,3.0,60.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,2,2.0,870.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,5,960.0,23.0,3.0,1170.0,6.0,50000.0,0.0,4.0,4.0,4.0,1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1,0.0,43.21,5.0,4.0,0.0
51,3101,2,1.0,1,3,2,1.0,2.0,2.0,3.0,90.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1,6,2.0,1400.0,1,2.0,1,1.0,1,2.0,1.0,3.0,3.0,3.0,7,1530.0,12.0,3.0,1210.0,1.0,159000.0,0.0,4.0,4.0,4.0,1,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,0.0,150.0,7.0,4.0,0.0
52,3104,1,1.0,1,3,2,1.0,2.0,2.0,3.0,40.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,7,2.0,1500.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,8,1613.0,101.0,1.0,9500.0,4.0,13500.0,0.0,4.0,4.0,4.0,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,106.92,1.0,5.0,1.0
53,3103,2,1.0,1,3,3,1.0,1.0,2.0,3.0,60.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,5,2.0,970.0,1,1.0,1,1.0,1,1.0,1.0,3.0,2.0,3.0,8,1063.0,25.0,1.0,9500.0,5.0,52000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,104.0,5.0,3.0,0.0
55,3105,1,3.0,1,3,6,1.0,2.0,2.0,3.0,80.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,200.0,1,2.0,1,1.0,1,2.0,1.0,3.0,1.0,1.0,11,280.0,7.0,1.0,9500.0,4.0,48500.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,0.0,287.73,5.0,1.0,0.0
56,3101,1,1.0,1,0,9,1.0,2.0,2.0,1.0,114.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1,1,2.0,190.0,1,2.0,1,1.0,1,2.0,1.0,3.0,0.0,2.0,5,190.0,20.0,1.0,9500.0,6.0,11500.0,0.0,4.0,4.0,4.0,1,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,1,1,0.0,38.0,1.0,1.0,0.0
57,3106,1,1.0,1,0,7,1.0,2.0,2.0,3.0,60.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,1,2.0,890.0,1,2.0,1,1.0,1,2.0,1.0,3.0,1.0,3.0,8,951.0,23.0,1.0,9500.0,4.0,49500.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,17.98,5.0,4.0,0.0
58,3105,5,1.0,1,4,2,1.0,2.0,2.0,3.0,60.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1,7,2.0,900.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,4,1153.0,28.0,1.0,9500.0,5.0,50000.0,0.0,2.0,4.0,4.0,1,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1,0.0,1.0,0.0,0.0,2,1,0.0,242.55,4.0,3.0,0.0
59,3101,3,1.0,1,2,7,1.0,2.0,2.0,3.0,70.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1,5,2.0,840.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,6,913.0,46.0,1.0,9500.0,3.0,24000.0,0.0,2.0,2.0,2.0,1,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1,0.0,1.0,0.0,0.0,3,1,0.0,86.0,2.0,3.0,1.0
60,3107,1,1.0,1,2,7,1.0,2.0,2.0,3.0,140.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1,4,2.0,1000.0,1,2.0,1,1.0,1,2.0,1.0,3.0,1.0,3.0,6,1173.0,39.0,1.0,9500.0,4.0,36000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,0.0,127.26,4.0,4.0,1.0
61,3104,1,1.0,1,1,9,1.0,2.0,2.0,3.0,100.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,3,2.0,1400.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,20,1613.0,18.0,1.0,9500.0,6.0,108000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,100.98,7.0,6.0,0.0
62,3101,3,1.0,1,3,9,1.0,2.0,2.0,3.0,100.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,6,2.0,2800.0,1,2.0,1,1.0,1,1.0,1.0,3.0,3.0,3.0,12,2935.0,18.0,1.0,9500.0,7.0,196000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,0.0,104.0,7.0,7.0,0.0
64,3106,2,1.0,1,3,2,1.0,2.0,2.0,3.0,90.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,1600.0,1,2.0,1,1.0,1,1.0,1.0,3.0,3.0,3.0,12,1713.0,19.0,1.0,9500.0,7.0,106000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1,0.0,0.0,0.0,0.0,1,1,0.0,16.74,7.0,5.0,0.0
65,3101,1,1.0,1,1,9,1.0,2.0,2.0,3.0,70.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1,2,2.0,1200.0,1,2.0,1,1.0,1,1.0,1.0,3.0,0.0,3.0,8,1290.0,101.0,3.0,1350.0,6.0,8000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1,0.0,44.0,1.0,5.0,1.0
66,3105,4,1.0,1,2,6,1.0,2.0,2.0,1.0,114.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1,4,2.0,1200.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,1.0,5,1200.0,13.0,4.0,2430.0,1.0,110000.0,0.0,2.0,2.0,2.0,1,1.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,1,0.0,1.0,0.0,0.0,3,1,0.0,52.05,7.0,4.0,0.0
67,3101,1,1.0,1,0,9,1.0,2.0,2.0,3.0,70.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,1,2.0,1100.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,12,1172.0,40.0,1.0,9500.0,6.0,35000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,0.0,142.0,4.0,5.0,1.0
