,PUMA,NP,ACCESS,BATH,BDSP,BLD,BROADBND,COMPOTHX,DIALUP,ELEFP,ELEP,FS,FULFP,GASFP,HFL,HISPEED,LAPTOP,OTHSVCEX,REFR,RMSP,RNTM,RNTP,SATELLITE,SMARTPHONE,TABLET,TEL,TEN,VEH,WATFP,YBL,GRPIP,HHL,HHLANP,HHT,HINCP,HUPAC,KIT,LNGI,MULTG,MV,NOC,NPP,NR,PARTNER,PSF,R18,R65,RESMODE,SRNT,SSMC,WGTP_CLT,AMI,AFF_OCC,COST_BURDALL,Cluster
0,3102,5,1.0,1,3,2,1.0,2.0,2.0,3.0,100.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,1,5,2.0,800.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,5,68.0,1.0,9500.0,3.0,18000.0,3.0,1,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,0.0,200.33,1.0,3.0,1.0,Cluster 3
1,3104,1,1.0,1,2,6,1.0,2.0,2.0,3.0,120.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,7,2.0,1100.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,6,20.0,1.0,9500.0,4.0,72000.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,111.87,7.0,4.0,0.0,Cluster 0
2,3101,2,1.0,1,3,2,1.0,2.0,2.0,3.0,170.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1,5,2.0,600.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,5,19.0,1.0,9500.0,1.0,56600.0,4.0,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,90.0,5.0,2.0,0.0,Cluster 1
3,3105,4,1.0,1,2,7,1.0,2.0,2.0,3.0,80.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,6,2.0,800.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,6,18.0,1.0,9500.0,1.0,59400.0,2.0,1,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0.0,61.87,5.0,3.0,0.0,Cluster 3
4,3101,1,2.0,1,0,9,1.0,2.0,2.0,3.0,30.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1,1,2.0,1400.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,12,11.0,1.0,9500.0,4.0,160000.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,95.0,7.0,6.0,0.0,Cluster 0
5,3105,3,1.0,1,3,2,1.0,2.0,2.0,3.0,80.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,1300.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3,17.0,1.0,9500.0,7.0,121300.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1,0.0,229.79,7.0,5.0,0.0,Cluster 0
6,3105,2,1.0,1,3,2,1.0,2.0,2.0,3.0,110.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1,7,2.0,1400.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,6,16.0,1.0,9500.0,7.0,116000.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3,1,0.0,81.51,7.0,5.0,0.0,Cluster 0
7,3107,2,1.0,1,1,7,1.0,2.0,2.0,3.0,90.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1,2,2.0,830.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,8,26.0,1.0,9500.0,3.0,42000.0,2.0,1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.0,42.59,4.0,4.0,0.0,Cluster 3
8,3104,1,1.0,1,2,2,1.0,2.0,2.0,3.0,100.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,1600.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,10,44.0,1.0,9500.0,6.0,50000.0,4.0,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,105.93,5.0,6.0,1.0,Cluster 0
9,3103,2,1.0,1,1,6,1.0,2.0,2.0,3.0,110.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,650.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,5,20.0,5.0,4590.0,1.0,45600.0,4.0,1,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,58.0,4.0,3.0,0.0,Cluster 1
